Sample Type/ Type d'échantillon,Type,Start Date/ Date de Début,Stop Date/ Date de Fin,Station Name/ Nom de Station,Province,Sr90 Activity/ Activité (Bq/L),Sr90 Error/ Erreur (Bq/L),Sr90 Activity/Calcium (Bq/g)
MILK,WHOLE,01-Jan-84,31-Mar-84,CALGARY,AB,0.105,0.00996,0.097
MILK,WHOLE,01-Apr-84,30-Jun-84,CALGARY,AB,0.0628,0.00866,0.0747
MILK,WHOLE,01-Oct-84,31-Dec-84,CALGARY,AB,5.5e-09,1.08e-09,5.39e-09
MILK,WHOLE,01-Jan-85,31-Mar-85,CALGARY,AB,0.041,0.00579,0.0402
MILK,WHOLE,01-Apr-85,30-Jun-85,CALGARY,AB,0.041,0.00579,0.0369
MILK,WHOLE,01-Jul-85,30-Sep-85,CALGARY,AB,0.041,0.00579,0.0373
MILK,WHOLE,01-Oct-85,31-Dec-85,CALGARY,AB,0.041,0.00579,0.0383
MILK,WHOLE,01-Jan-86,31-Mar-86,CALGARY,AB,0.0595,0.00649,0.0567
MILK,WHOLE,01-Apr-86,30-Jun-86,CALGARY,AB,0.0799,0.0213,0.0791
MILK,WHOLE,01-Jul-86,30-Sep-86,CALGARY,AB,0.0662,0.00793,0.0619
MILK,WHOLE,01-Oct-86,31-Dec-86,CALGARY,AB,0.0627,0.0069,0.0621
MILK,WHOLE,01-Jan-87,31-Mar-87,CALGARY,AB,0.0511,0.00579,0.0511
MILK,WHOLE,01-Apr-87,30-Jun-87,CALGARY,AB,0.0595,0.00695,0.0572
MILK,WHOLE,01-Jul-87,30-Sep-87,CALGARY,AB,0.0493,0.00647,0.0483
MILK,WHOLE,01-Oct-87,31-Dec-87,CALGARY,AB,0.0483,0.00763,0.0493
MILK,WHOLE,01-Jan-88,31-Mar-88,CALGARY,AB,0.0411,0.00396,0.0399
MILK,WHOLE,01-Apr-88,30-Jun-88,CALGARY,AB,0.0474,0.00478,0.0447
MILK,WHOLE,01-Jul-88,30-Sep-88,CALGARY,AB,0.0561,0.00553,0.055
MILK,WHOLE,01-Oct-88,31-Dec-88,CALGARY,AB,0.0496,0.00453,0.0481
MILK,WHOLE,01-Jan-89,31-Mar-89,CALGARY,AB,0.0455,0.00443,0.0434
MILK,WHOLE,01-Jan-90,31-Mar-90,CALGARY,AB,0.0491,0.00448,0.0472
MILK,WHOLE,01-Apr-91,30-Jun-91,CALGARY,AB,0.0416,0.00395,0.0396
MILK,WHOLE,01-Apr-92,30-Jun-92,CALGARY,AB,0.0383,0.00365,0.0358
